,Company Name,Address,Phone,Website
0,Shah Trading Corporation,"Office #2, 1st Floor, Malik Nasir Plaza, Street#8, VIP Block, Ghouri Town,Islamabad.,",0300 8574999,http://wwwshahtradingcorp
1,Alee Associates Real Estate Investment Consultants,"Office # 4-A/27Ø Defence Business Bay, Sector F DHA Phase 1, Islamabad,",515916004,https://aleeassociates.com/
2,Capital Brand Technologies,"1ST & 2ND FLOOR, PLAZA 21 (ACE PLAZA), ORCHARD ROAD, GIGA DOWN TOWN AREAØ DHA PHASE II, ISLAMABAD,",051-4494998,https://capitalbrandtech.com/
3,Galaxy International Engineers and builders,"1st floor,danyal plaza, main double road ,PWD,",515421425,http://www.galaxyinternational.pk
4,HostBreak â Web Hosting In Pakistan,"Software Technology Park I-9/3,",9.23E+11,http://www.hostbreak.com/
5,The Dynamic solutions,"#1, 1st Floor, St # 8, VIP Block, Ghori Town, Islamabad.,",051-2509921,N/A
6,HR Business Solutions,"House no 8, Lane 6, Sector H, DHA-2, ",0092332 5359287,https://hrbs.com.pk/
7,BSNS CONSULTING (Cost and Management Accountants),"Office # 11, 2nd Floor, Anique Arcade, I-8 Markaz, Islamabad.,",051-4861774,http://www.bsnsconsulting.com
8,Talha Shahid Architects & Associates,"Office 306, 4th Floor, HM Tower, Business Park, Gulberg Greens,",515913036,http://talhashahidarchitects.com
9,HostNext Technologies,"LG # 2-3, Plaza # 117, Civic Center, Bahria Town Phase 4 Islamabad",033-111-10266,https://www.hostnext.net
10,Gharbaar.com,"16th Floor Tower B, Centaurus Mall, F-8, Islamabad,",8746137,http://gharbaar.com/blue-world-city
11,Circuit.pk,"KSL building, STP-3 Software Technology Park 3,",(+92) 3152953872,https://circuit.pk
12,Jabal Lebnan,"G-10 Markaz,",+92 51 2364396+92 300 9785365,http://www.facebook.com/jabal.lebnan.pk
13,Technology Village,"Office # 22,3rd Floor,Al Anayat Mall, G-11 Markaz, Islamabad,",9.23E+11,http://www.technology-village.com
14,Critical GREEN,"No. 02, Street 10-B, Akhtar Road,",-513371025,http://www.criticalgreen.com
15,Teleport Manpower Consultants,"Office # 03 Ground Floor Twin City Plaza Near Sultan Arcade I-8/4 Opposite ST # 92 Extension Area Faizabad,",9.23E+11,https://www.teleportmanpower.com
16,"Active Tours, treks & expeditions Pakistan","Village Rahimabad, District Gilgit, Gilgit-Baltistan,",9.29E+11,http://www.visitatp.com
17,Areva Interiors And Building Contractors," E-11/3 Markaz, Islamabad,",+92 300 956 92 88,https://arevaworldwide.blogspot.com
18,NewCapeGrace Guest House,"H 8, Justice Abdul Rasheed Road, F-6/1,",-5252440,http://www.newcapegrace.com
19,Adventure Time Club.ATC,"House no 2, Street no.1, gulberg town lethrar road islamabad,",0300-7964721 &,https://www.facebook.com/Adventuretimeclubofficial
20,Cars Travel Junction,"Office#02 Jinnah Arcade Street# 37 G-13/2,",9.23E+11,http://www.carstraveljunction.com
21,Chalay ao Travels (Pvt Ltd),"Gate # 1, opposite Dha 2, near Shan Marbles, Islamabad, Islamabad Capital Territory 44000,",0335 6442987,https://chalayao.com/
22,ebayzoon.com,"Jinnah Avenue, Blue Area,",3335348439,http://www.ebayzoon.com
23,HiTech Technologies,"04, 2nd floor, sardar arcade II, G 11 Markaz,",512364426,http://www.hitechnology.com.pk
24,Shah Trading Corporation,"Office #2, 1st Floor, Malik Nasir Plaza, Street#8, VIP Block, Ghouri Town,Islamabad.,",0300 8574999,http://wwwshahtradingcorp
25,Alee Associates Real Estate Investment Consultants,"Office # 4-A/27Ø Defence Business Bay, Sector F DHA Phase 1, Islamabad,",515916004,https://aleeassociates.com/
26,Capital Brand Technologies,"1ST & 2ND FLOOR, PLAZA 21 (ACE PLAZA), ORCHARD ROAD, GIGA DOWN TOWN AREAØ DHA PHASE II, ISLAMABAD,",051-4494998,https://capitalbrandtech.com/
27,Galaxy International Engineers and builders,"1st floor,danyal plaza, main double road ,PWD,",515421425,http://www.galaxyinternational.pk
28,HostBreak â Web Hosting In Pakistan,"Software Technology Park I-9/3,",9.23E+11,http://www.hostbreak.com/
29,The Dynamic solutions,"#1, 1st Floor, St # 8, VIP Block, Ghori Town, Islamabad.,",051-2509921,N/A
30,HR Business Solutions,"House no 8, Lane 6, Sector H, DHA-2, ",0092332 5359287,https://hrbs.com.pk/
31,BSNS CONSULTING (Cost and Management Accountants),"Office # 11, 2nd Floor, Anique Arcade, I-8 Markaz, Islamabad.,",051-4861774,http://www.bsnsconsulting.com
32,Talha Shahid Architects & Associates,"Office 306, 4th Floor, HM Tower, Business Park, Gulberg Greens,",515913036,http://talhashahidarchitects.com
33,HostNext Technologies,"LG # 2-3, Plaza # 117, Civic Center, Bahria Town Phase 4 Islamabad",033-111-10266,https://www.hostnext.net
34,Gharbaar.com,"16th Floor Tower B, Centaurus Mall, F-8, Islamabad,",8746137,http://gharbaar.com/blue-world-city
35,Circuit.pk,"KSL building, STP-3 Software Technology Park 3,",(+92) 3152953872,https://circuit.pk
36,Jabal Lebnan,"G-10 Markaz,",+92 51 2364396+92 300 9785365,http://www.facebook.com/jabal.lebnan.pk
37,Technology Village,"Office # 22,3rd Floor,Al Anayat Mall, G-11 Markaz, Islamabad,",9.23E+11,http://www.technology-village.com
38,Critical GREEN,"No. 02, Street 10-B, Akhtar Road,",-513371025,http://www.criticalgreen.com
39,Teleport Manpower Consultants,"Office # 03 Ground Floor Twin City Plaza Near Sultan Arcade I-8/4 Opposite ST # 92 Extension Area Faizabad,",9.23E+11,https://www.teleportmanpower.com
40,"Active Tours, treks & expeditions Pakistan","Village Rahimabad, District Gilgit, Gilgit-Baltistan,",9.29E+11,http://www.visitatp.com
41,Areva Interiors And Building Contractors," E-11/3 Markaz, Islamabad,",+92 300 956 92 88,https://arevaworldwide.blogspot.com
42,NewCapeGrace Guest House,"H 8, Justice Abdul Rasheed Road, F-6/1,",-5252440,http://www.newcapegrace.com
43,Adventure Time Club.ATC,"House no 2, Street no.1, gulberg town lethrar road islamabad,",0300-7964721 &,https://www.facebook.com/Adventuretimeclubofficial
44,Cars Travel Junction,"Office#02 Jinnah Arcade Street# 37 G-13/2,",9.23E+11,http://www.carstraveljunction.com
45,Chalay ao Travels (Pvt Ltd),"Gate # 1, opposite Dha 2, near Shan Marbles, Islamabad, Islamabad Capital Territory 44000,",0335 6442987,https://chalayao.com/
46,ebayzoon.com,"Jinnah Avenue, Blue Area,",3335348439,http://www.ebayzoon.com
47,HiTech Technologies,"04, 2nd floor, sardar arcade II, G 11 Markaz,",512364426,http://www.hitechnology.com.pk
